"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Dawson","Deaton","Texas Tech","Sr","6054","306","0958","3278","7948","","5.12","24","29","0900","4.49","7.52"
"Luke","Fortner","Kentucky","Sr","6041","307","1000","3318","8038","","5.21","","24","0806","4.95","7.75"
"Cameron","Jurgens","Nebraska","rSO","6027","303","1000","3338","8018","","4.92","25","","","",""
"Tyler","Linderbaum","Iowa","Jr","6021","296","1000","3118","7558","","","","","","",""
"Alec","Lindstrom","Boston College","Sr","6033","296","0928","3258","7600","","5.18","25","29","0903","4.66","7.50"
"Luke","Wattenberg","Washington","Sr","6040","299","0938","3418","8178","","5.20","","29.5","0905","4.57","7.45"
"Dohnovan","West","Arizona State","Jr","6032","296","0948","3300","7800","","5.27","","28","0904","",""
