,Acronym,RosterID,Interceptions,InterceptionsYards,InterceptionTDs,PassDefended,ForcedFumbles,FumblesRecovered,FumbleYards,FumbleTDs,Sacks,CombinedTackles,SoloTackles,AssistedTackles,TacklesForLoss,QbHits,Safeties
7396,phi,kan19JoshGordon,,,,,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,
7397,phi,kan40DerrickGore,,,,,,,,,,,,,,,
7398,phi,kan83NoahGray,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7399,phi,kan48NakiaGriffin-Stewart,,,,,,,,,0.0,17.0,11.0,6.0,1.0,0.0,
7400,phi,kan17MecoleHardman,,,,,,,,,,,,,,,
7401,phi,kan47DariusHarris,,,,,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
7402,phi,kan96DemoneHarris,,,,,,,,,2.0,46.0,20.0,26.0,7.0,11.0,
7403,phi,kan04ChadHenne,,,,,,,,,,,,,,,
7404,phi,kan10TyreekHill,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7405,phi,kan53AnthonyHitchens,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
7406,phi,kan21MikeHughes,,,,,,,,,0.0,15.0,13.0,2.0,1.0,0.0,
7407,phi,kan52CreedHumphrey,,,,,2.0,0.0,0.0,0.0,0.0,41.0,24.0,17.0,1.0,0.0,
7408,phi,kan24MelvinIngram,,,,,0.0,1.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
7409,phi,kan20JoshJackson,,,,,,,,,,,,,,,
7410,phi,kan95ChrisJones,,,,,,,,,,,,,,,
7411,phi,kan59JoshuaKaindoh,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,
7412,phi,kan87TravisKelce,,,,,,,,,,,,,,,
7413,phi,kan85MarcusKemp,,,,,,,,,,,,,,,
7414,phi,kan26ChrisLammons,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7415,phi,kan15PatrickMahomes,,,,,,,,,,,,,,,
7416,phi,kan32TyrannMathieu,,,,,,,,,,,,,,,
7417,phi,kan01JerickMcKinnon,,,,,0.0,3.0,-23.0,0.0,0.0,,,,,,
7418,phi,kan67LucasNiang,,,,,0.0,1.0,-22.0,0.0,0.0,,,,,,
7419,phi,kan56BenNiemann,,,,,,,,,,,,,,,
7420,phi,kan91DerrickNnadi,,,,,2.0,1.0,0.0,1.0,3.5,35.0,25.0,10.0,7.0,12.0,
7421,phi,kan44DorianO'Daniel,,,,,,,,,,,,,,,
7422,phi,kan97AlexOkafor,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.5,63.0,27.0,36.0,9.0,18.0,
7423,phi,kan13ByronPringle,,,,,,,,,,,,,,,
7424,phi,kan90JarranReed,,,,,,,,,0.0,3.0,3.0,0.0,1.0,2.0,
7425,phi,kan75MikeRemmers,,,,,1.0,0.0,0.0,0.0,1.0,18.0,11.0,7.0,2.0,1.0,
7426,phi,kan11DemarcusRobinson,,,,,,,,,,,,,,,
7427,phi,kan99KhalenSaunders,,,,,,,,,,,,,,,
7428,phi,kan65TreySmith,,,,,,,,,,,,,,,
7429,phi,kan38L'JariusSneed,,,,,,,,,,,,,,,
7430,phi,kan49DanielSorensen,1.0,29.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,137.0,81.0,56.0,4.0,2.0,
7431,phi,kan22JuanThornhill,1.0,0.0,0.0,5.0,,,,,0.0,62.0,39.0,23.0,0.0,0.0,
7432,phi,kan62JoeThuney,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7433,phi,kan05JohnnyTownsend,,,,,,,,,,,,,,,
7434,phi,kan05TommyTownsend,,,,,,,,,,,,,,,
7435,phi,kan70PrinceTega,,,,,,,,,,,,,,,
7436,phi,kan35CharvariusWard,,,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
7437,phi,kan23ArmaniWatts,2.0,24.0,0.0,4.0,,,,,0.0,58.0,32.0,26.0,0.0,0.0,
7438,phi,kan98TershawnWharton,,,,,1.0,0.0,0.0,0.0,2.0,20.0,10.0,10.0,1.0,5.0,
7439,phi,kan31DarrelWilliams,,,,,,,,,,,,,,,
7440,phi,kan41JamesWinchester,,,,,,,,,0.0,6.0,4.0,2.0,0.0,0.0,
7441,phi,kan77AndrewWylie,,,,,,,,,,,,,,,
7442,phi,clt49MatthewAdams,1.0,29.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,137.0,81.0,56.0,4.0,2.0,
7443,phi,clt41JahleelAddae,,,,,,,,,0.0,6.0,4.0,2.0,0.0,0.0,
7444,phi,clt81MoAlie-Cox,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7445,phi,clt06MichaelBadgley,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
7446,phi,clt52BenBanogu,,,,,2.0,0.0,0.0,0.0,0.0,41.0,24.0,17.0,1.0,0.0,
7447,phi,clt32JulianBlackmon,,,,,,,,,,,,,,,
7448,phi,clt03RodrigoBlankenship,1.0,4.0,0.0,7.0,,,,,0.0,50.0,34.0,16.0,0.0,0.0,
7449,phi,clt99DeForestBuckner,,,,,,,,,,,,,,,
7450,phi,clt36IbraheimCampbell,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7451,phi,clt01ParrisCampbell,,,,,0.0,3.0,-23.0,0.0,0.0,,,,,,
7452,phi,clt38T.J.Carrie,,,,,,,,,,,,,,,
7453,phi,clt47AnthonyChesley,,,,,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
7454,phi,clt92KameronCline,,,,,,,,,,,,,,,
7455,phi,clt15KekeCoutee,,,,,,,,,,,,,,,
7456,phi,clt73Julie'nDavenport,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7457,phi,clt74KhalilDavis,,,,,,,,,,,,,,,
7458,phi,clt29SeanDavis,1.0,-1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.5,73.0,53.0,20.0,5.0,3.0,
7459,phi,clt84JackDoyle,,,,,,,,,,,,,,,
7460,phi,clt16AshtonDulin,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7461,phi,clt09JacobEason,,,,,,,,,,,,,,,
7462,phi,clt04SamEhlinger,,,,,,,,,,,,,,,
7463,phi,clt79EricFisher,,,,,,,,,,,,,,,
7464,phi,clt44ZaireFranklin,,,,,,,,,,,,,,,
7465,phi,clt75WillFries,,,,,1.0,0.0,0.0,0.0,1.0,18.0,11.0,7.0,2.0,1.0,
7466,phi,clt59JordanGlasgow,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,
7467,phi,clt64MarkGlowinski,,,,,,,,,,,,,,,
7468,phi,clt83KylenGranson,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7469,phi,clt12De'MichaelHarris,,,,,,,,,,,,,,,
7470,phi,clt13T.Y.Hilton,,,,,,,,,,,,,,,
7471,phi,clt21NyheimHines,,,,,,,,,0.0,15.0,13.0,2.0,1.0,0.0,
7472,phi,clt35DeonJackson,,,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
7473,phi,clt43MalikJefferson,,,,,,,,,,,,,,,
7474,phi,clt36JoshJones,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7475,phi,clt78RyanKelly,,,,,,,,,,,,,,,
7476,phi,clt33ThakariusKeyes,,,,,,,,,1.0,12.0,8.0,4.0,1.0,1.0,
7477,phi,clt53DariusLeonard,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
7478,phi,clt94TyquanLewis,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.5,45.0,19.0,26.0,7.0,13.0,
7479,phi,clt29JordanLucas,1.0,-1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.5,73.0,53.0,20.0,5.0,3.0,
7480,phi,clt25MarlonMack,,,,,,,,,,,,,,,
7481,phi,clt23KennyMoore,2.0,24.0,0.0,4.0,,,,,0.0,58.0,32.0,26.0,0.0,0.0,
7482,phi,clt55SkaiMoore,,,,,,,,,0.0,2.0,2.0,0.0,1.0,1.0,
7483,phi,clt97Al-QuadinMuhammad,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.5,63.0,27.0,36.0,9.0,18.0,
7484,phi,clt48KyleNelson,,,,,,,,,0.0,17.0,11.0,6.0,1.0,0.0,
7485,phi,clt56QuentonNelson,,,,,,,,,,,,,,,
7486,phi,clt54DayoOdeyingbo,0.0,0.0,0.0,1.0,,,,,0.0,23.0,15.0,8.0,0.0,0.0,
7487,phi,clt30GeorgeOdum,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7488,phi,clt58BobbyOkereke,,,,,,,,,1.0,43.0,21.0,22.0,4.0,2.0,
7489,phi,clt14ZachPascal,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7490,phi,clt10DezmonPatmon,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7491,phi,clt51KwityPaye,,,,,,,,,,,,,,,
7492,phi,clt63DannyPinter,,,,,,,,,,,,,,,
7493,phi,clt11MichaelPittman,,,,,,,,,,,,,,,
7494,phi,clt69MattPryor,,,,,,,,,,,,,,,
7495,phi,clt29WillRedmond,1.0,-1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.5,73.0,53.0,20.0,5.0,3.0,
7496,phi,clt62ChrisReed,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7497,phi,clt46LukeRhodes,,,,,,,,,,,,,,,
7498,phi,clt27XavierRhodes,0.0,0.0,0.0,1.0,,,,,0.0,16.0,7.0,9.0,0.0,0.0,
7499,phi,clt91IsaacRochell,,,,,2.0,1.0,0.0,1.0,3.5,35.0,25.0,10.0,7.0,12.0,
7500,phi,clt34IsaiahRodgers,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7501,phi,clt08RigobertoSanchez,,,,,,,,,,,,,,,
7502,phi,clt42AndrewSendejo,,,,,,,,,0.0,15.0,12.0,3.0,0.0,0.0,
7503,phi,clt72BradenSmith,,,,,,,,,0.0,5.0,1.0,4.0,0.0,0.0,
7504,phi,clt45E.J.Speed,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7505,phi,clt95TaylorStallworth,,,,,,,,,,,,,,,
7506,phi,clt90GroverStewart,,,,,,,,,0.0,3.0,3.0,0.0,1.0,2.0,
7507,phi,clt17MikeStrachan,,,,,,,,,,,,,,,
7508,phi,clt28JonathanTaylor,1.0,2.0,0.0,3.0,,,,,0.0,72.0,36.0,36.0,2.0,1.0,
7509,phi,clt57KemokoTuray,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,130.0,64.0,66.0,5.0,2.0,
7510,phi,clt02CarsonWentz,3.0,72.0,1.0,9.0,0.0,2.0,116.0,2.0,0.0,52.0,40.0,12.0,5.0,0.0,
7511,phi,clt20JordanWilkins,,,,,,,,,,,,,,,
7512,phi,clt66ChrisWilliams,,,,,,,,,,,,,,,
7513,phi,clt37KhariWillis,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7514,phi,clt96AntwaunWoods,,,,,,,,,2.0,46.0,20.0,26.0,7.0,11.0,
7515,phi,clt26RockYa-Sin,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7516,phi,dal56BradleeAnae,,,,,,,,,,,,,,,
7517,phi,dal05BryanAnger,,,,,,,,,,,,,,,
7518,phi,dal92DoranceArmstrong,,,,,,,,,,,,,,,
7519,phi,dal93TarellBasham,0.0,0.0,0.0,2.0,,,,,2.0,30.0,15.0,15.0,6.0,6.0,
7520,phi,dal53FrancisBernard,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
7521,phi,dal63TylerBiadasz,,,,,,,,,,,,,,,
7522,phi,dal98QuintonBohanna,,,,,1.0,0.0,0.0,0.0,2.0,20.0,10.0,10.0,1.0,5.0,
7523,phi,dal30AnthonyBrown,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7524,phi,dal36KyronBrown,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7525,phi,dal85NoahBrown,,,,,,,,,,,,,,,
7526,phi,dal49IanBunting,1.0,29.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,137.0,81.0,56.0,4.0,2.0,
7527,phi,dal33DeanteBurton,,,,,,,,,1.0,12.0,8.0,4.0,1.0,1.0,
7528,phi,dal31MauriceCanady,,,,,,,,,,,,,,,
7529,phi,dal32CoreyClement,,,,,,,,,,,,,,,
7530,phi,dal71La'elCollins,,,,,,,,,,,,,,,
7531,phi,dal19AmariCooper,,,,,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,
7532,phi,dal14JabrilCox,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7533,phi,dal39TylerCoyle,,,,,,,,,,,,,,,
7534,phi,dal27TrevonDiggs,0.0,0.0,0.0,1.0,,,,,0.0,16.0,7.0,9.0,0.0,0.0,
7535,phi,dal21EzekielElliott,,,,,,,,,0.0,15.0,13.0,2.0,1.0,0.0,
7536,phi,dal58AustinFaoliu,,,,,,,,,1.0,43.0,21.0,22.0,4.0,2.0,
7537,phi,dal68MattFarniok,,,,,,,,,0.0,2.0,0.0,2.0,0.0,0.0,
7538,phi,dal81SimiFehoko,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7539,phi,dal96NevilleGallimore,,,,,,,,,2.0,46.0,20.0,26.0,7.0,11.0,
7540,phi,dal13MichaelGallup,,,,,,,,,,,,,,,
7541,phi,dal57LukeGifford,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,130.0,64.0,66.0,5.0,2.0,
7542,phi,dal59ChaunceyGolston,,,,,,,,,0.0,3.0,0.0,3.0,0.0,2.0,
7543,phi,dal29C.J.Goodwin,1.0,-1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.5,73.0,53.0,20.0,5.0,3.0,
7544,phi,dal94RandyGregory,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.5,45.0,19.0,26.0,7.0,13.0,
7545,phi,dal03LirimHajrullahu,1.0,4.0,0.0,7.0,,,,,0.0,50.0,34.0,16.0,0.0,0.0,
7546,phi,dal99JustinHamilton,,,,,,,,,,,,,,,
7547,phi,dal37JaQuanHardy,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7548,phi,dal72TrystenHill,,,,,,,,,0.0,5.0,1.0,4.0,0.0,0.0,
7549,phi,dal28MalikHooker,1.0,2.0,0.0,3.0,,,,,0.0,72.0,36.0,36.0,2.0,1.0,
7550,phi,dal89BlakeJarwin,,,,,,,,,,,,,,,
7551,phi,dal24KelvinJoseph,,,,,0.0,1.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
7552,phi,dal43AzurKamara,,,,,,,,,,,,,,,
7553,phi,dal18DamontaeKazee,,,,,0.0,1.0,20.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,
7554,phi,dal27JayronKearse,0.0,0.0,0.0,1.0,,,,,0.0,16.0,7.0,9.0,0.0,0.0,
7555,phi,dal69BrandonKnight,,,,,,,,,,,,,,,
7556,phi,dal88CeeDeeLamb,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7557,phi,dal90DeMarcusLawrence,,,,,,,,,0.0,3.0,3.0,0.0,1.0,2.0,
7558,phi,dal26JourdanLewis,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7559,phi,dal70ZackMartin,,,,,,,,,,,,,,,
7560,phi,dal66ConnorMcGovern,,,,,,,,,,,,,,,
7561,phi,dal84SeanMcKeon,,,,,,,,,,,,,,,
7562,phi,dal44JakeMcQuaide,,,,,,,,,,,,,,,
7563,phi,dal38IsraelMukuamu,,,,,,,,,,,,,,,
7564,phi,dal42KeanuNeal,,,,,,,,,0.0,15.0,12.0,3.0,0.0,0.0,
7565,phi,dal79TyNsekhe,,,,,,,,,,,,,,,
7566,phi,dal75OsaOdighizuwa,,,,,1.0,0.0,0.0,0.0,1.0,18.0,11.0,7.0,2.0,1.0,
7567,phi,dal11MicahParsons,,,,,,,,,,,,,,,
7568,phi,dal20TonyPollard,,,,,,,,,,,,,,,
7569,phi,dal04DakPrescott,,,,,,,,,,,,,,,
7570,phi,dal46NickRalston,,,,,,,,,,,,,,,
7571,phi,dal10CooperRush,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7572,phi,dal86DaltonSchultz,,,,,,,,,,,,,,,
7573,phi,dal43ItoSmith,,,,,,,,,,,,,,,
7574,phi,dal09JaylonSmith,,,,,,,,,,,,,,,
7575,phi,dal77TyronSmith,,,,,,,,,,,,,,,
7576,phi,dal87JeremySprinkle,,,,,,,,,,,,,,,
7577,phi,dal78TerenceSteele,,,,,,,,,,,,,,,
7578,phi,dal23DarianThompson,2.0,24.0,0.0,4.0,,,,,0.0,58.0,32.0,26.0,0.0,0.0,
7579,phi,dal17MalikTurner,,,,,,,,,,,,,,,
7580,phi,dal95BrentUrban,,,,,,,,,,,,,,,
7581,phi,dal55LeightonVander,,,,,,,,,0.0,2.0,2.0,0.0,1.0,1.0,
7582,phi,dal91CarlosWatkins,,,,,2.0,1.0,0.0,1.0,3.5,35.0,25.0,10.0,7.0,12.0,
7583,phi,dal52ConnorWilliams,,,,,2.0,0.0,0.0,0.0,0.0,41.0,24.0,17.0,1.0,0.0,
7584,phi,dal01CedrickWilson,,,,,0.0,3.0,-23.0,0.0,0.0,,,,,,
7585,phi,dal06DonovanWilson,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
7586,phi,dal25NahshonWright,,,,,,,,,,,,,,,
7587,phi,dal02GregZuerlein,3.0,72.0,1.0,9.0,0.0,2.0,116.0,2.0,0.0,52.0,40.0,12.0,5.0,0.0,
7588,phi,mia26SalvonAhmed,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7589,phi,mia55JeromeBaker,,,,,,,,,0.0,2.0,2.0,0.0,1.0,1.0,
7590,phi,mia47VinceBiegel,,,,,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
7591,phi,mia14JacobyBrissett,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7592,phi,mia34MalcolmBrown,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7593,phi,mia70AdamButler,,,,,,,,,,,,,,,
7594,phi,mia22ElijahCampbell,1.0,0.0,0.0,5.0,,,,,0.0,62.0,39.0,23.0,0.0,0.0,
7595,phi,mia82CethanCarter,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7596,phi,mia27JustinColeman,0.0,0.0,0.0,1.0,,,,,0.0,16.0,7.0,9.0,0.0,0.0,
7597,phi,mia38JavarisDavis,,,,,,,,,,,,,,,
7598,phi,mia77JesseDavis,,,,,,,,,,,,,,,
7599,phi,mia98RaekwonDavis,,,,,1.0,0.0,0.0,0.0,2.0,20.0,10.0,10.0,1.0,5.0,
7600,phi,mia63MichaelDeiter,,,,,,,,,,,,,,,
7601,phi,mia49SamuelEguavoen,1.0,29.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,137.0,81.0,56.0,4.0,2.0,
7602,phi,mia74LiamEichenberg,,,,,,,,,,,,,,,
7603,phi,mia42ClaytonFejedelem,,,,,,,,,0.0,15.0,12.0,3.0,0.0,0.0,
7604,phi,mia44BlakeFerguson,,,,,,,,,,,,,,,
7605,phi,mia87IsaiahFord,,,,,,,,,,,,,,,
7606,phi,mia03WillFuller,1.0,4.0,0.0,7.0,,,,,0.0,50.0,34.0,16.0,0.0,0.0,
7607,phi,mia37MylesGaskin,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7608,phi,mia88MikeGesicki,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7609,phi,mia19JakeemGrant,,,,,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,
7610,phi,mia22JevonHolland,1.0,0.0,0.0,5.0,,,,,0.0,62.0,39.0,23.0,0.0,0.0,
7611,phi,mia86MackHollins,,,,,,,,,,,,,,,
7612,phi,mia25XavienHoward,,,,,,,,,,,,,,,
7613,phi,mia68RobertHunt,,,,,,,,,0.0,2.0,0.0,2.0,0.0,0.0,
7614,phi,mia09NoahIgbinoghene,,,,,,,,,,,,,,,
7615,phi,mia73AustinJackson,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7616,phi,mia90JohnJenkins,,,,,,,,,0.0,3.0,3.0,0.0,1.0,2.0,
7617,phi,mia28DukeJohnson,1.0,2.0,0.0,3.0,,,,,0.0,72.0,36.0,36.0,2.0,1.0,
7618,phi,mia29BrandonJones,1.0,-1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.5,73.0,53.0,20.0,5.0,3.0,
7619,phi,mia24ByronJones,,,,,0.0,1.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
7620,phi,mia65RobertJones,,,,,,,,,,,,,,,
7621,phi,mia66SolomonKindley,,,,,,,,,,,,,,,
7622,phi,mia32PatrickLaird,,,,,,,,,,,,,,,
7623,phi,mia85TommyleeLewis,,,,,,,,,,,,,,,
7624,phi,mia31PhillipLindsay,,,,,,,,,,,,,,,
7625,phi,mia84HunterLong,,,,,,,,,,,,,,,
7626,phi,mia62GregMancz,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7627,phi,mia30JasonMcCourty,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
7628,phi,mia83KirkMerritt,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7629,phi,mia35ChristopherMilton,,,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
7630,phi,mia50CalvinMunson,1.0,7.0,0.0,1.0,,,,,0.0,43.0,18.0,25.0,1.0,1.0,
7631,phi,mia40NikNeedham,,,,,,,,,,,,,,,
7632,phi,mia91EmmanuelOgbah,,,,,2.0,1.0,0.0,1.0,3.5,35.0,25.0,10.0,7.0,12.0,
7633,phi,mia05MichaelPalardy,,,,,,,,,,,,,,,
7634,phi,mia78AdamPankey,,,,,,,,,,,,,,,
7635,phi,mia11DeVanteParker,,,,,,,,,,,,,,,
7636,phi,mia36WillParks,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7637,phi,mia33JamalPerry,,,,,,,,,1.0,12.0,8.0,4.0,1.0,1.0,
7638,phi,mia15JaelanPhillips,,,,,,,,,,,,,,,
7639,phi,mia20SheldrickRedwine,,,,,,,,,,,,,,,
7640,phi,mia61AustinReiter,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7641,phi,mia45DukeRiley,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7642,phi,mia52ElandonRoberts,,,,,2.0,0.0,0.0,0.0,0.0,41.0,24.0,17.0,1.0,0.0,
7643,phi,mia21EricRowe,,,,,,,,,0.0,15.0,13.0,2.0,1.0,0.0,
7644,phi,mia07JasonSanders,,,,,,,,,,,,,,,
7645,phi,mia57BrennanScarlett,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,130.0,64.0,66.0,5.0,2.0,
7646,phi,mia22JordanScarlett,1.0,0.0,0.0,5.0,,,,,0.0,62.0,39.0,23.0,0.0,0.0,
7647,phi,mia80AdamShaheen,,,,,,,,,,,,,,,
7648,phi,mia97JabaalSheard,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.5,63.0,27.0,36.0,9.0,18.0,
7649,phi,mia92ZachSieler,,,,,,,,,,,,,,,
7650,phi,mia81DurhamSmythe,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
7651,phi,mia01TuaTagovailoa,,,,,0.0,3.0,-23.0,0.0,0.0,,,,,,
7652,phi,mia64CameronTom,,,,,,,,,,,,,,,
7653,phi,mia43AndrewVan,,,,,,,,,,,,,,,
7654,phi,mia17JaylenWaddle,,,,,,,,,,,,,,,
7655,phi,mia94ChristianWilkins,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.5,45.0,19.0,26.0,7.0,13.0,
7656,phi,mia18PrestonWilliams,,,,,0.0,1.0,20.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,
7657,phi,mia51TrillWilliams,,,,,,,,,,,,,,,
7658,phi,mia02AlbertWilson,3.0,72.0,1.0,9.0,0.0,2.0,116.0,2.0,0.0,52.0,40.0,12.0,5.0,0.0,
7659,phi,phi76JackAnderson,,,,,,,,,,,,,,,
7660,phi,phi19JJArcega-Whiteside,,,,,1.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,
7661,phi,phi58GenardAvery,,,,,,,,,1.0,43.0,21.0,22.0,4.0,2.0,
7662,phi,phi72KayodeAwosika,,,,,,,,,0.0,5.0,1.0,4.0,0.0,0.0,
7663,phi,phi96DerekBarnett,,,,,,,,,2.0,46.0,20.0,26.0,7.0,11.0,
7664,phi,phi54ShaunBradley,0.0,0.0,0.0,1.0,,,,,0.0,23.0,15.0,8.0,0.0,0.0,
7665,phi,phi79BrandonBrooks,,,,,,,,,,,,,,,
7666,phi,phi21AndreChachere,,,,,,,,,0.0,15.0,13.0,2.0,1.0,0.0,
7667,phi,phi74Le'RavenClark,,,,,,,,,,,,,,,
7668,phi,phi91FletcherCox,,,,,2.0,1.0,0.0,1.0,3.5,35.0,25.0,10.0,7.0,12.0,
7669,phi,phi51LandonDickerson,,,,,,,,,,,,,,,
7670,phi,phi77AndreDillard,,,,,,,,,,,,,,,
7671,phi,phi63JackDriscoll,,,,,,,,,,,,,,,
7672,phi,phi57T.J.Edwards,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,130.0,64.0,66.0,5.0,2.0,
7673,phi,phi04JakeElliott,,,,,,,,,,,,,,,
7674,phi,phi53ChristianElliss,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
7675,phi,phi22MarcusEpps,1.0,0.0,0.0,5.0,,,,,0.0,62.0,39.0,23.0,0.0,0.0,
7676,phi,phi86ZachErtz,,,,,,,,,,,,,,,
7677,phi,phi14KennethGainwell,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7678,phi,phi88DallasGoedert,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
7679,phi,phi36TayGowan,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
7680,phi,phi55BrandonGraham,,,,,,,,,0.0,2.0,2.0,0.0,1.0,1.0,
7681,phi,phi97JavonHargrave,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.5,63.0,27.0,36.0,9.0,18.0,
7682,phi,phi28AnthonyHarris,1.0,2.0,0.0,3.0,,,,,0.0,72.0,36.0,36.0,2.0,1.0,
7683,phi,phi67NateHerbig,,,,,0.0,1.0,-22.0,0.0,0.0,,,,,,
7684,phi,phi82JohnHightower,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
7685,phi,phi24JordanHoward,,,,,0.0,1.0,-3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
7686,phi,phi32JasonHuntley,,,,,,,,,,,,,,,
7687,phi,phi01JalenHurts,,,,,0.0,3.0,-23.0,0.0,0.0,,,,,,
7688,phi,phi75TarronJackson,,,,,1.0,0.0,0.0,0.0,1.0,18.0,11.0,7.0,2.0,1.0,
7689,phi,phi80TyreeJackson,,,,,,,,,,,,,,,
7690,phi,phi65LaneJohnson,,,,,,,,,,,,,,,
7691,phi,phi48PatrickJohnson,,,,,,,,,0.0,17.0,11.0,6.0,1.0,0.0,
7692,phi,phi62JasonKelce,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
