,Acronym,RosterID,Completions,Attempts,PassingYards,PassingTDs,Interceptions,QBRate,QBR,RushingAttempts,RushingYards,RushingTDs,RushingYPG,RushingAPG,PassTargets,Receptions,ReceivingYards,ReceivingTDs,CatchPercentage,Touches,YardsFromScrimmage,Fumbles
1193,jax,jax52DaVonHamilton,,,,,,,,,,,,,,,,,,,,
1194,jax,jax81JoshHammond,,,,,,,,,,,,,,,,,,,,
1195,jax,jax23C.J.Henderson,,,,,,,,15,80,0,40.0,7.5,4.0,3.0,16.0,0.0,75.0,18.0,0,0
1196,jax,jax37TreHerndon,,,,,,,,,,,,,,,,,,,,
1197,jax,jax86JacobHollister,,,,,,,,0,0,0,0.0,0.0,14.0,9.0,55.0,1.0,64.3,9.0,0,0
1198,jax,jax24CarlosHyde,,,,,,,,72,253,1,21.1,6.0,21.0,12.0,65.0,0.0,57.1,84.0,2,2
1199,jax,jax44MylesJack,,,,,,,,,,,,,,,,,,,,
1200,jax,jax34MichaelJacquet,,,,,,,,,,,,,,,,,,,,
1201,jax,jax02RayshawnJenkins,,,,,,,,,,,,,,,,,,,,
1202,jax,jax12TyronJohnson,,,,,,,,0,0,0,0.0,0.0,5.0,2.0,16.0,0.0,40.0,2.0,0,0
1203,jax,jax40JamirJones,,,,,,,,,,,,,,,,,,,,
1204,jax,jax11MarvinJones,,,,,,,,0,0,0,0.0,0.0,120.0,73.0,832.0,4.0,60.8,73.0,0,0
1205,jax,jax04JoshLambo,,,,,,,,,,,,,,,,,,,,
1206,jax,jax16TrevorLawrence,359,602,3641,12,17,71.9,33.5,73,334,2,19.6,4.3,,,,,,73.0,9,9
1207,jax,jax21NevinLawson,,,,,,,,,,,,,,,,,,,,
1208,jax,jax65BrandonLinder,,,,,,,,,,,,,,,,,,,,
1209,jax,jax72WalkerLittle,,,,,,,,,,,,,,,,,,,,
1210,jax,jax84ChrisManhertz,,,,,,,,0,0,0,0.0,0.0,9.0,6.0,71.0,1.0,66.7,6.0,0,0
1211,jax,jax46RossMatiscik,,,,,,,,,,,,,,,,,,,,
1212,jax,jax55LerenteeMcCray,,,,,,,,,,,,,,,,,,,,
1213,jax,jax62KCMcDermott,,,,,,,,,,,,,,,,,,,,
1214,jax,jax22BradleyMcDougald,,,,,,,,,,,,,,,,,,,,
1215,jax,jax19JaydonMickens,,,,,,,,,,,,,,,,,,,,
1216,jax,jax68AndrewNorwell,,,,,,,,,,,,,,,,,,,,
1217,jax,jax80JamesO'Shaughnessy,,,,,,,,0,0,0,0.0,0.0,34.0,24.0,244.0,0.0,70.6,24.0,0,0
1218,jax,jax33DareOgunbowale,,,,,,,,43,137,1,8.1,2.5,21.0,13.0,114.0,1.0,61.9,56.0,0,0
1219,jax,jax22DevineOzigbo,,,,,,,,,,,,,,,,,,,,
1220,jax,jax50ShaquilleQuarterman,,,,,,,,,,,,,,,,,,,,
1221,jax,jax76WillRichardson,,,,,,,,,,,,,,,,,,,,
1222,jax,jax95RoyRobertson-Harris,,,,,,,,,,,,,,,,,,,,
1223,jax,jax74CamRobinson,,,,,,,,,,,,,,,,,,,,
1224,jax,jax25JamesRobinson,,,,,,,,164,767,8,54.8,11.7,46.0,31.0,222.0,0.0,67.4,195.0,4,4
1225,jax,jax29BrandonRusnak,,,,,,,,,,,,,,,,,,,,
1226,jax,jax49ChapelleRussell,,,,,,,,,,,,,,,,,,,,
1227,jax,jax36MekhiSargent,,,,,,,,1,2,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1228,jax,jax13JKScott,,,,,,,,,,,,,,,,,,,,
1229,jax,jax69TylerShatley,,,,,,,,,,,,,,,,,,,,
1230,jax,jax10LaviskaShenault,,,,,,,,11,41,0,2.6,0.7,100.0,63.0,619.0,0.0,63.0,74.0,1,1
1231,jax,jax19DevinSmith,,,,,,,,,,,,,,,,,,,,
1232,jax,jax92JordanSmith,,,,,,,,,,,,,,,,,,,,
1233,jax,jax91DawuaneSmoot,,,,,,,,,,,,,,,,,,,,
1234,jax,jax75JawaanTaylor,,,,,,,,,,,,,,,,,,,,
1235,jax,jax20DanielThomas,,,,,,,,,,,,,,,,,,,,
1236,jax,jax73BadaraTraore,,,,,,,,,,,,,,,,,,,,
1237,jax,jax18LaquonTreadwell,,,,,,,,0,0,0,0.0,0.0,51.0,33.0,434.0,1.0,64.7,33.0,0,0
1238,jax,jax97JayTufele,,,,,,,,,,,,,,,,,,,,
1239,jax,jax77Tre'VourWallace-Simms,,,,,,,,,,,,,,,,,,,,
1240,jax,jax59JihadWard,,,,,,,,,,,,,,,,,,,,
1241,jax,jax47KahaleWarring,,,,,,,,,,,,,,,,,,,,
1242,jax,jax54DamienWilson,,,,,,,,,,,,,,,,,,,,
1243,jax,jax42AndrewWingard,,,,,,,,1,4,0,0.3,0.1,,,,,,1.0,0,0
1244,jax,jax15MatthewWright,,,,,,,,,,,,,,,,,,,,
1245,nyj,nyj36JoshAdams,,,,,,,,,,,,,,,,,,,,
1246,nyj,nyj06MattAmmendola,,,,,,,,,,,,,,,,,,,,
1247,nyj,nyj48NickBawden,,,,,,,,,,,,,,,,,,,,
1248,nyj,nyj77MekhiBecton,,,,,,,,,,,,,,,,,,,,
1249,nyj,nyj10BraxtonBerrios,,,,,,,,7,40,2,2.5,0.4,65.0,46.0,431.0,2.0,70.8,53.0,1,1
1250,nyj,nyj03TarikBlack,,,,,,,,0,0,0,0.0,0.0,2.0,1.0,10.0,0.0,50.0,1.0,0,0
1251,nyj,nyj54RonaldBlair,,,,,,,,,,,,,,,,,,,,
1252,nyj,nyj87DanielBrown,,,,,,,,0,0,0,0.0,0.0,2.0,2.0,29.0,0.0,100.0,2.0,0,0
1253,nyj,nyj30MichaelCarter,,,,,,,,,,,,,,,,,,,,
1254,nyj,nyj32MichaelCarter,,,,,,,,147,639,4,45.6,10.5,55.0,36.0,325.0,0.0,65.5,183.0,1,1
1255,nyj,nyj53BlakeCashman,,,,,,,,,,,,,,,,,,,,
1256,nyj,nyj33AdrianColbert,,,,,,,,,,,,,,,,,,,,
1257,nyj,nyj88KeelanCole,0,1,0,0,0,39.6,3.5,0,0,0,0.0,0.0,51.0,28.0,449.0,1.0,54.9,28.0,0,0
1258,nyj,nyj23TevinColeman,,,,,,,,84,356,0,32.4,7.6,16.0,11.0,49.0,0.0,68.8,95.0,0,0
1259,nyj,nyj82JamisonCrowder,0,0,0,0,0,,84.6,0,0,0,0.0,0.0,71.0,51.0,447.0,2.0,71.8,51.0,1,1
1260,nyj,nyj21AshtynDavis,,,,,,,,,,,,,,,,,,,,
1261,nyj,nyj84CoreyDavis,,,,,,,,0,0,0,0.0,0.0,59.0,34.0,492.0,4.0,57.6,34.0,2,2
1262,nyj,nyj52JarradDavis,,,,,,,,,,,,,,,,,,,,
1263,nyj,nyj46NoahDawkins,,,,,,,,,,,,,,,,,,,,
1264,nyj,nyj27IsaiahDunn,,,,,,,,,,,,,,,,,,,,
1265,nyj,nyj72LaurentDuvernay-Tardif,,,,,,,,,,,,,,,,,,,,
1266,nyj,nyj25BrandinEchols,,,,,,,,61,238,2,14.9,3.8,55.0,34.0,372.0,2.0,61.8,95.0,2,2
1267,nyj,nyj70ChumaEdoga,,,,,,,,,,,,,,,,,,,,
1268,nyj,nyj76GeorgeFant,,,,,,,,,,,,,,,,,,,,
1269,nyj,nyj94FolorunsoFatukasi,,,,,,,,,,,,,,,,,,,,
1270,nyj,nyj67DanFeeney,,,,,,,,,,,,,,,,,,,,
1271,nyj,nyj19JoeFlacco,27,42,338,3,0,113.0,43.5,2,3,0,1.5,1.0,,,,,,2.0,1,1
1272,nyj,nyj91JohnFranklin-Myers,,,,,,,,,,,,,,,,,,,,
1273,nyj,nyj48B.J.Goodson,,,,,,,,,,,,,,,,,,,,
1274,nyj,nyj86RyanGriffin,,,,,,,,0,0,0,0.0,0.0,42.0,27.0,261.0,2.0,64.3,27.0,1,1
1275,nyj,nyj40JavelinGuidry,,,,,,,,,,,,,,,,,,,,
1276,nyj,nyj37BryceHall,,,,,,,,,,,,,,,,,,,,
1277,nyj,nyj34JustinHardee,,,,,,,,,,,,,,,,,,,,
1278,nyj,nyj42ThomasHennessy,,,,,,,,,,,,,,,,,,,,
1279,nyj,nyj47BryceHuff,,,,,,,,,,,,,,,,,,,,
1280,nyj,nyj38LamarJackson,,,,,,,,,,,,,,,,,,,,
1281,nyj,nyj09JoshJohnson,29,45,334,3,1,99.7,,4,18,0,6.0,1.3,,,,,,4.0,0,0
1282,nyj,nyj25TyJohnson,,,,,,,,61,238,2,14.9,3.8,55.0,34.0,372.0,2.0,61.8,95.0,2,2
1283,nyj,nyj29LamarcusJoyner,,,,,,,,,,,,,,,,,,,,
1284,nyj,nyj06AlexKessman,,,,,,,,,,,,,,,,,,,,
1285,nyj,nyj81TylerKroft,,,,,,,,0,0,0,0.0,0.0,25.0,16.0,173.0,1.0,64.0,16.0,0,0
1286,nyj,nyj50ShaqLawson,,,,,,,,,,,,,,,,,,,,
1287,nyj,nyj07BradenMann,,,,,,,,1,4,0,0.4,0.1,,,,,,1.0,0,0
1288,nyj,nyj96JonathanMarshall,,,,,,,,,,,,,,,,,,,,
1289,nyj,nyj20MarcusMaye,,,,,,,,,,,,,,,,,,,,
1290,nyj,nyj69ConorMcDermott,,,,,,,,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,1.0,0,0
1291,nyj,nyj60ConnorMcGovern,,,,,,,,,,,,,,,,,,,,
1292,nyj,nyj11DenzelMims,,,,,,,,0,0,0,0.0,0.0,23.0,8.0,133.0,0.0,34.8,8.0,0,0
1293,nyj,nyj14D.J.Montgomery,,,,,,,,0,0,0,0.0,0.0,6.0,3.0,36.0,0.0,50.0,3.0,0,0
1294,nyj,nyj08ElijahMoore,,,,,,,,5,54,1,4.9,0.5,77.0,43.0,538.0,5.0,55.8,48.0,0,0
1295,nyj,nyj04ThomasMorstead,,,,,,,,,,,,,,,,,,,,
1296,nyj,nyj78MorganMoses,,,,,,,,,,,,,,,,,,,,
1297,nyj,nyj57C.J.Mosley,,,,,,,,,,,,,,,,,,,,
1298,nyj,nyj01KaiNacua,,,,,,,,,,,,,,,,,,,,
1299,nyj,nyj45HamsahNasirildeen,,,,,,,,,,,,,,,,,,,,
1300,nyj,nyj35SharrodNeasman,,,,,,,,26,101,1,25.3,6.5,3.0,2.0,9.0,0.0,66.7,28.0,0,0
1301,nyj,nyj39WillParks,,,,,,,,,,,,,,,,,,,,
1302,nyj,nyj22La'MicalPerine,,,,,,,,8,31,0,7.8,2.0,,,,,,8.0,0,0
1303,nyj,nyj43Del'ShawnPhillips,,,,,,,,,,,,,,,,,,,,
1304,nyj,nyj93KylePhillips,,,,,,,,,,,,,,,,,,,,
1305,nyj,nyj15EddyPineiro,,,,,,,,,,,,,,,,,,,,
1306,nyj,nyj41JasonPinnock,,,,,,,,,,,,,,,,,,,,
1307,nyj,nyj98SheldonRankins,,,,,,,,,,,,,,,,,,,,
1308,nyj,nyj55HamilcarRashed,,,,,,,,,,,,,,,,,,,,
1309,nyj,nyj31SheldrickRedwine,,,,,,,,,,,,,,,,,,,,
1310,nyj,nyj49LaRoyReynolds,,,,,,,,,,,,,,,,,,,,
1311,nyj,nyj33ElijahRiley,,,,,,,,,,,,,,,,,,,,
1312,nyj,nyj97NathanShepherd,,,,,,,,,,,,,,,,,,,,
1313,nyj,nyj44JamienSherwood,,,,,,,,,,,,,,,,,,,,
1314,nyj,nyj16JeffSmith,,,,,,,,1,-1,0,-0.1,0.1,17.0,8.0,113.0,0.0,47.1,9.0,0,0
1315,nyj,nyj17VyncintSmith,,,,,,,,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1316,nyj,nyj62GregVan,,,,,,,,,,,,,,,,,,,,
1317,nyj,nyj75AlijahVera-Tucker,,,,,,,,,,,,,,,,,,,,
1318,nyj,nyj35AustinWalter,,,,,,,,26,101,1,25.3,6.5,3.0,2.0,9.0,0.0,66.7,28.0,0,0
1319,nyj,nyj51TimWard,,,,,,,,,,,,,,,,,,,,
1320,nyj,nyj85TrevonWesco,,,,,,,,0,0,0,0.0,0.0,5.0,3.0,35.0,0.0,60.0,3.0,0,0
1321,nyj,nyj53JavinWhite,,,,,,,,,,,,,,,,,,,,
1322,nyj,nyj05MikeWhite,88,132,953,5,8,75.1,50.5,5,-1,0,-0.3,1.3,,,,,,5.0,0,0
1323,nyj,nyj29RachadWildgoose,,,,,,,,,,,,,,,,,,,,
1324,nyj,nyj71IsaiahWilliams,,,,,,,,,,,,,,,,,,,,
1325,nyj,nyj56QuincyWilliams,,,,,,,,,,,,,,,,,,,,
1326,nyj,nyj95QuinnenWilliams,,,,,,,,,,,,,,,,,,,,
1327,nyj,nyj39JarrodWilson,,,,,,,,,,,,,,,,,,,,
1328,nyj,nyj02ZachWilson,213,383,2334,9,11,69.7,28.2,29,185,4,14.2,2.2,1.0,0.0,0.0,0.0,0.0,29.0,5,5
1329,nyj,nyj48KennyYeboah,,,,,,,,,,,,,,,,,,,,
1330,nyj,nyj92JabariZuniga,,,,,,,,,,,,,,,,,,,,
1331,det,det13GeronimoAllison,,,,,,,,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
1332,det,det34AlexAnzalone,,,,,,,,,,,,,,,,,,,,
1333,det,det36CoreyBallentine,,,,,,,,,,,,,,,,,,,,
1334,det,det55DerrickBarnes,,,,,,,,,,,,,,,,,,,,
1335,det,det59TavanteBeckett,,,,,,,,,,,,,,,,,,,,
1336,det,det17TrinityBenson,,,,,,,,0,0,0,0.0,0.0,22.0,10.0,103.0,0.0,45.5,10.0,0,0
1337,det,det43RashodBerry,,,,,,,,,,,,,,,,,,,,
1338,det,det10DavidBlough,0,0,0,0,0,,0.1,1,6,0,6.0,1.0,,,,,,1.0,1,1
1339,det,det49CurtisBolton,,,,,,,,,,,,,,,,,,,,
1340,det,det12TimBoyle,61,94,526,3,6,63.5,26.4,2,13,0,2.6,0.4,,,,,,2.0,1,1
1341,det,det15BradyBreeze,,,,,,,,,,,,,,,,,,,,
1342,det,det91MichaelBrockers,,,,,,,,,,,,,,,,,,,,
1343,det,det63EvanBrown,,,,,,,,,,,,,,,,,,,,
1344,det,det02AustinBryant,,,,,,,,,,,,,,,,,,,,
1345,det,det45JasonCabinda,,,,,,,,3,23,0,1.6,0.2,7.0,4.0,16.0,1.0,57.1,7.0,0,0
1346,det,det87QuintezCephus,,,,,,,,0,0,0,0.0,0.0,22.0,15.0,204.0,2.0,68.2,15.0,0,0
1347,det,det08JamieCollins,,,,,,,,0,0,0,0.0,0.0,36.0,19.0,306.0,2.0,52.8,19.0,0,0
1348,det,det96JashonCornell,,,,,,,,,,,,,,,,,,,,
1349,det,det47ScottDaly,,,,,,,,,,,,,,,,,,,,
1350,det,det68TaylorDecker,,,,,,,,0,0,0,0.0,0.0,2.0,2.0,4.0,1.0,100.0,2.0,0,0
1351,det,det65ParkerEhinger,,,,,,,,,,,,,,,,,,,,
1352,det,det42JalenElliott,,,,,,,,,,,,,,,,,,,,
1353,det,det80DarrenFells,,,,,,,,0,0,0,0.0,0.0,5.0,4.0,43.0,0.0,80.0,4.0,0,0
1354,det,det90TreyFlowers,,,,,,,,,,,,,,,,,,,,
1355,det,det03JackFox,2,3,38,0,0,109.7,,,,,,,,,,,,,,
1356,det,det40MarkGilbert,,,,,,,,,,,,,,,,,,,,
1357,det,det16JaredGoff,332,494,3245,19,8,91.5,39.5,17,87,0,6.2,1.2,,,,,,17.0,9,9
1358,det,det93Da'ShawnHand,,,,,,,,,,,,,,,,,,,,
1359,det,det53CharlesHarris,,,,,,,,,,,,,,,,,,,,
1360,det,det25WillHarris,,,,,,,,,,,,,,,,,,,,
1361,det,det76BruceHector,,,,,,,,,,,,,,,,,,,,
1362,det,det88T.J.Hockenson,,,,,,,,0,0,0,0.0,0.0,84.0,61.0,583.0,4.0,72.6,61.0,0,0
1363,det,det18KhaDarelHodge,,,,,,,,0,0,0,0.0,0.0,27.0,13.0,157.0,0.0,48.1,13.0,0,0
1364,det,det69WillHolden,,,,,,,,,,,,,,,,,,,,
1365,det,det35GodwinIgwebuike,,,,,,,,18,118,1,6.9,1.1,10.0,7.0,60.0,0.0,70.0,25.0,2,2
1366,det,det73JonahJackson,,,,,,,,,,,,,,,,,,,,
1367,det,det39JerryJacobs,,,,,,,,,,,,,,,,,,,,
1368,det,det28JermarJefferson,,,,,,,,15,74,2,10.6,2.1,5.0,4.0,23.0,0.0,80.0,19.0,0,0
1369,det,det85TomKennedy,1,1,75,1,0,158.3,100.0,0,0,0,0.0,0.0,10.0,6.0,54.0,0.0,60.0,6.0,0,0
1370,det,det78TommyKraemer,,,,,,,,,,,,,,,,,,,,
1371,det,det52JessieLemonier,,,,,,,,,,,,,,,,,,,,
1372,det,det31DeanMarlowe,,,,,,,,,,,,,,,,,,,,
1373,det,det74RyanMcCollum,,,,,,,,,,,,,,,,,,,,
1374,det,det54AlimMcNeill,,,,,,,,,,,,,,,,,,,,
1375,det,det26IfeatuMelifonwu,,,,,,,,,,,,,,,,,,,,
1376,det,det38C.J.Moore,,,,,,,,1,28,0,1.6,0.1,,,,,,1.0,0,0
1377,det,det29ParnellMotley,,,,,,,,,,,,,,,,,,,,
1378,det,det67MattNelson,,,,,,,,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1379,det,det01JeffOkudah,,,,,,,,,,,,,,,,,,,,
1380,det,det99JulianOkwara,,,,,,,,,,,,,,,,,,,,
1381,det,det95RomeoOkwara,,,,,,,,,,,,,,,,,,,,
1382,det,det75LeviOnwuzurike,,,,,,,,,,,,,,,,,,,,
1383,det,det24AmaniOruwariye,,,,,,,,,,,,,,,,,,,,
1384,det,det41AJParker,,,,,,,,,,,,,,,,,,,,
1385,det,det06RileyPatterson,,,,,,,,0,0,0,0.0,0.0,3.0,2.0,14.0,0.0,66.7,2.0,0,0
1386,det,det98JohnPenisini,,,,,,,,,,,,,,,,,,,,
1387,det,det80JaredPinkney,,,,,,,,0,0,0,0.0,0.0,5.0,4.0,43.0,0.0,80.0,4.0,0,0
1388,det,det57AnthonyPittman,,,,,,,,,,,,,,,,,,,,
1389,det,det27BobbyPrice,,,,,,,,0,0,0,0.0,0.0,1.0,1.0,17.0,0.0,100.0,1.0,0,0
1390,det,det77FrankRagnow,,,,,,,,,,,,,,,,,,,,
1391,det,det11KalifRaymond,,,,,,,,4,28,0,1.8,0.3,71.0,48.0,576.0,4.0,67.6,52.0,0,0
1392,det,det44JalenReeves-Maybin,,,,,,,,,,,,,,,,,,,,
1393,det,det46CraigReynolds,,,,,,,,55,230,0,46.0,11.0,8.0,7.0,52.0,0.0,87.5,62.0,0,0
1394,det,det08JoshReynolds,,,,,,,,0,0,0,0.0,0.0,36.0,19.0,306.0,2.0,52.8,19.0,0,0
1395,det,det01NickellRobey-Coleman,,,,,,,,,,,,,,,,,,,,
1396,det,det05AldrickRosas,,,,,,,,,,,,,,,,,,,,
1397,det,det05RyanSantoso,,,,,,,,,,,,,,,,,,,,
1398,det,det04AustinSeibert,,,,,,,,,,,,,,,,,,,,
1399,det,det58PeneiSewell,,,,,,,,,,,,,,,,,,,,
1400,det,det70DanSkipper,,,,,,,,,,,,,,,,,,,,
1401,det,det19SaivionSmith,,,,,,,,,,,,,,,,,,,,
1402,det,det14Amon-RaSt.,,,,,,,,7,61,1,3.6,0.4,119.0,90.0,912.0,5.0,75.6,97.0,0,0
1403,det,det71LoganStenberg,,,,,,,,,,,,,,,,,,,,
1404,det,det92KevinStrong,,,,,,,,,,,,,,,,,,,,
1405,det,det32D'AndreSwift,0,1,0,0,0,39.6,0.5,151,617,5,47.5,11.6,78.0,62.0,452.0,2.0,79.5,213.0,2,2
1406,det,det86RossTravis,,,,,,,,,,,,,,,,,,,,
1407,det,det72HalapoulivaatiVaitai,,,,,,,,,,,,,,,,,,,,
1408,det,det21TracyWalker,,,,,,,,,,,,,,,,,,,,
1409,det,det30JamaalWilliams,,,,,,,,153,601,3,46.2,11.8,28.0,26.0,157.0,0.0,92.9,179.0,1,1
1410,det,det97NickWilliams,,,,,,,,,,,,,,,,,,,,
1411,det,det06TyrellWilliams,,,,,,,,0,0,0,0.0,0.0,3.0,2.0,14.0,0.0,66.7,2.0,0,0
1412,det,det51JoshWoods,,,,,,,,,,,,,,,,,,,,
1413,det,det33DarylWorley,,,,,,,,,,,,,,,,,,,,
1414,det,det89BrockWright,,,,,,,,0,0,0,0.0,0.0,17.0,12.0,117.0,2.0,70.6,12.0,0,0
1415,det,det84ShaneZylstra,,,,,,,,0,0,0,0.0,0.0,7.0,3.0,34.0,0.0,42.9,3.0,0,0
1416,gnb,gnb17DavanteAdams,,,,,,,,0,0,0,0.0,0.0,169.0,123.0,1553.0,11.0,72.8,123.0,0,0
1417,gnb,gnb23JaireAlexander,,,,,,,,,,,,,,,,,,,,
1418,gnb,gnb31AdrianAmos,,,,,,,,,,,,,,,,,,,,
