Name,Position,School ▲,HT,WT,Hands,Arms,Wingspan,40,Bench,3-Cone,Shuttle,Vertical,Broad
Tyler Stuever,RB,Oklahoma Baptist,6001.0,218.0,928.0,3128.0,7448.0,4.59,18,7.09,4.30,32.5,0910
Josh Cornell,WR,Oklahoma Baptist,6012.0,195.0,900.0,3118.0,7368.0,4.81,--,7.28,4.26,30.5,0901
Jake Foshee,IOL,Oklahoma Baptist,6026.0,296.0,928.0,3138.0,7638.0,5.31,30,8.07,5.07,30.5,0901
LD Brown,RB,Oklahoma State,5090.0,187.0,878.0,3078.0,7318.0,4.51,16,7.44,4.48,36.0,1005
Jaylen Warren,RB,Oklahoma State,5080.0,207.0,928.0,2978.0,7068.0,--,--,7.13,4.42,34.0,0908
Tay Martin,WR,Oklahoma State,6014.0,184.0,938.0,3238.0,7738.0,4.58,--,7.00,4.21,36.0,0909
Logan Carter,TE,Oklahoma State,6032.0,245.0,958.0,3448.0,7928.0,5.25,22,7.60,4.70,31.5,0900
Danny Godlevske,IOL,Oklahoma State,6022.0,298.0,968.0,3048.0,7618.0,5.52,25,8.35,5.00,26.0,0800
Josh Sills,IOL,Oklahoma State,6055.0,322.0,1000.0,3378.0,8338.0,5.25,18,7.52,4.52,25.0,0806
Israel Antwine,IDL,Oklahoma State,6026.0,309.0,1000.0,3300.0,7958.0,5.05,28,7.96,4.59,27.5,0902
Devin Harper,LB,Oklahoma State,6002.0,234.0,878.0,3178.0,7518.0,4.50,21,6.84,4.03,40.5,0911
Malcolm Rodriguez,LB,Oklahoma State,5110.0,236.0,958.0,3038.0,7318.0,--,36,7.02,4.13,--,1000
Christian Holmes,CB,Oklahoma State,5117.0,201.0,948.0,3128.0,7638.0,4.54,16,7.25,4.15,39.0,1006
Kolby Harvell-Peel,S,Oklahoma State,5115.0,213.0,968.0,3118.0,7600.0,4.61,--,7.08,4.38,37.0,0911
Tre Sterling,S,Oklahoma State,5115.0,205.0,948.0,3148.0,7548.0,4.71,14,7.19,4.14,36.5,0906
Stone Smartt,WR,Old Dominion,6040.0,226.0,,,,4.50,12,6.97,4.14,40.0,1008
Roger Cray,CB,Old Dominion,,,,,,,15,,,37.0,1006
Ta'Mar Heart-Wilkins,LB,Olivet,5113.0,227.0,1000.0,3100.0,7358.0,4.86,13,7.58,4.52,35.5,0910
Anthony Brown,QB,Oregon,6013.0,217.0,978.0,3248.0,7678.0,4.70,--,--,4.28,34.0,0911
CJ Verdell,RB,Oregon,5076.0,202.0,948.0,2978.0,7228.0,4.68,11,--,4.34,31.0,0909
Johnny Johnson III,WR,Oregon,5117.0,196.0,1000.0,3068.0,7478.0,4.64,18,7.14,4.28,35.5,1001
Devon Williams,WR,Oregon,6050.0,211.0,1028.0,3418.0,8178.0,4.68,7,6.96,4.38,34.0,1011
George Moore,OT,Oregon,6056.0,312.0,1058.0,3378.0,8118.0,5.25,26,7.60,4.81,24.0,0802
Kayvon Thibodeaux,EDGE,Oregon,6040.0,256.0,968.0,3400.0,8068.0,--,--,7.23,4.38,--,0911
Mykael Wright,CB,Oregon,5104.0,181.0,978.0,3078.0,7538.0,4.56,--,6.82,4.29,31.5,0909
Jordan Happle,S,Oregon,5116.0,202.0,928.0,3000.0,7328.0,4.76,9,7.37,4.53,29.0,0902
Verone McKinley III,S,Oregon,5100.0,192.0,918.0,3058.0,7300.0,4.67,--,7.12,4.38,--,--
BJ Baylor,RB,Oregon State,5100.0,202.0,900.0,3038.0,7368.0,4.55,12,7.03,4.34,35.5,1004
Trevon Bradford,WR,Oregon State,5095.0,183.0,878.0,3000.0,7138.0,4.52,19,7.03,4.34,33.5,0905
Teagan Quitoriano,TE,Oregon State,6056,256,0928,3348,7958,4.94,--,7.33,4.50,32.0,0909
Nous Keobounnam,IOL,Oregon State,6021,292,--,--,--,--,--,--,--,--,--
Keonte Schad,IDL,Oregon State,6022,284,0938,3168,7658,4.92,--,7.27,4.67,28.5,0902
Andrzej Hughes-Murray,LB,Oregon State,6020,244,0868,3168,7800,4.80,25,7.15,4.38,35.5,1000
Avery Roberts,LB,Oregon State,5113,221,0968,3168,7700,4.78,--,7.26,4.34,31.5,0905
Elijah Jones,CB,Oregon State,6007,188,0948,3318,8118,4.52,12,6.99,4.29,37.5,1010
Gregory Junior,CB,Ouachita Baptist,5117,203,0868,3078,7628,4.46,18,6.97,4.17,39.5,1003
Prince Emili,IDL,Penn,6005,295,0918,3258,8118,5.12,28,7.58,4.50,36.5,0905
Jahan Dotson,WR,Penn State,5105,181,0948,3068,7518,--,15,--,--,--,--
Benjamin Wilson,WR,Penn State,6024,209,0978,3168,7948,4.72,13,7.29,4.89,35.5,1003
Rasheed Walker,OT,Penn State,6055,324,1058,3358,8048,--,--,--,--,--,--
Eric Wilson,IOL,Penn State,6035,306,0918,3128,7718,5.25,29,7.39,4.58,29.0,0806
Derrick Tangelo,IDL,Penn State,6017,296,0928,3348,8118,4.94,21,--,4.87,31.0,0905
Arnold Ebiketie,EDGE,Penn State,6026,247,1038,3418,8168,4.66,--,6.95,4.24,--,--
Jesse Luketa,EDGE,Penn State,6027,257,1038,3258,7978,--,17,7.29,4.27,36.5,1000
Ellis Brooks,LB,Penn State,6013,226,0968,3038,7448,4.77,23,7.28,4.31,33.5,0902
Max Chizmar,LB,Penn State,6016,234,0978,3018,7500,4.93,24,7.64,4.65,33.0,0908
Brandon Smith,LB,Penn State,6034,244,1028,3458,8238,--,19,6.94,4.08,--,--
Tariq Castro-Fields,CB,Penn State,6005,197,0868,3178,7618,--,14,7.05,4.06,37.0,1011
Jaquan Brisker,S,Penn State,6013,206,0978,3218,7600,4.45,--,6.91,4.19,38.5,--
Drew Hartlaub,S,Penn State,5111,170,0828,2948,7068,4.28,--,6.75,4.15,36.0,1009
Vlad Hilling,K,Penn State,5102,225,0918,2848,7100,--,19,--,--,--,--
Jordan Stout,P,Penn State,6032,209,0938,3138,7600,--,--,--,--,--,--
John Lovett,RB,Penn State,5114,215,0928,3238,7800,4.51,15,7.33,4.57,31.5,0905
Delonte Hood,CB,Peru State,5112,192,1000,3218,7668,4.42,12,6.95,4.20,35.0,1005
Kenny Pickett,QB,Pitt,6033,219,0858,3068,7368,--,--,--,--,--,--
Taysir Mack,WR,Pitt,6017,200,0958,3178,7758,4.55,--,7.28,4.33,36.0,1002
Melquise Stovall,WR,Pitt,5080,186,0948,2968,7500,4.58,13,7.15,4.29,37.5,1004
Tre Tipton,WR,Pitt,6004,182,0900,3200,7600,4.64,10,--,4.36,31.5,0910
Lucas Krull,TE,Pitt,6061,253,0938,3358,8138,4.64,14,7.15,4.38,35.0,1000
Keldrick Wilson,IOL,Pitt,6044,295,0968,3300,8028,5.70,18,8.25,4.97,24.0,0806
Keyshon Camp,IDL,Pitt,6027,283,0918,3248,7848,4.81,27,7.80,4.81,31.5,0902
Phil Campbell III,LB,Pitt,6004,219,0938,3000,7258,4.63,19,7.51,4.39,33.5,1000
John Petrishen,LB,Pitt,6007,227,0848,3048,7428,4.68,20,7.02,4.17,35.5,1000
Chase Pine,LB,Pitt,6026,247,0928,3268,7900,5.00,18,7.39,4.41,30.0,0900
Damarri Mathis,CB,Pitt,5111,198,0828,3148,7718,--,15,--,4.22,43.5,1101
Kirk Christodoulou,P,Pitt,6011,215,0918,3138,7600,--,--,--,--,--,--
Cal Adomitis,LS,Pitt,6015,235,1000,3038,7600,--,--,--,--,--,--
Tyler Adkins,RB,Pittsburg State,5082,224,0928,3038,7618,4.80,17,7.20,4.44,--,0810
Jalen Martin,WR,Pittsburg State,6013,209,0918,3218,7828,4.59,--,6.92,4.23,--,1003
Kaden Roy,EDGE,Pittsburg State,6041,244,0928,3158,7448,4.79,28,7.32,4.44,--,0909
Dallis Flowers,CB,Pittsburg State,6010,196,0978,3200,7828,4.43,--,6.98,4.34,--,1011
Markel Roby,S,Pittsburg State,5103,201,0978,3148,7558,4.79,16,7.16,4.51,--,0910
Jawon Pass,QB,Prairie View A&M,6041,240,1028,3348,8168,4.98,28,7.65,4.73,28.0,0904
Jacob Birmelin,WR,Princeton,5082,174,0868,2848,6668,4.60,15,6.84,4.20,33.0,0906
Samuel Wright II,EDGE,Princeton,6001,258,1028,3318,8158,--,25,6.99,4.40,36.0,0910
Jeremiah Tyler,LB,Princeton,6007,223,0878,3168,7738,4.99,16,7.00,4.18,36.0,1002
Delan Stallworth,CB,Princeton,5107,193,0900,3068,7448,4.60,--,7.03,4.10,39.5,1007
Zander Horvath,RB,Purdue,6021,228,0868,3200,7628,4.61,31,6.75,4.25,35.5,1003
Jackson Anthrop,WR,Purdue,5090,186,0928,2878,6918,4.75,11,7.02,4.36,31.0,0901
David Bell,WR,Purdue,6007.0,209.0,928.0,3258.0,7748.0,4.74,--,--,--,--,--
Greg Long,OT,Purdue,6034.0,304.0,978.0,3368.0,8018.0,--,20,--,--,--,--
Tyler Witt,IOL,Purdue,6021.0,304.0,928.0,3138.0,7538.0,5.28,35,8.17,4.96,24.0,0800
George Karlaftis,EDGE,Purdue,6036.0,263.0,1028.0,3328.0,7928.0,4.78,--,--,4.34,--,--
DaMarcus Mitchell,EDGE,Purdue,6026.0,260.0,1018.0,3228.0,7848.0,--,17,7.46,4.38,34.0,1005
Jaylan Alexander,LB,Purdue,6005.0,236.0,1000.0,3178.0,7478.0,4.95,--,7.20,4.56,30.5,0811
Dedrick Mackey,CB,Purdue,5102.0,183.0,900.0,3100.0,7448.0,4.80,14,7.10,4.45,30.0,0907
Anthony Federico,EDGE,Queen's,6030.0,237.0,958.0,3318.0,7928.0,4.87,14,7.47,4.68,31.0,0906
Billy Hall,QB,Reinhardt,,,,,,4.45,,,,33.0,1004
Coby Tippett,CB,Rhode Island,,,,,,4.41,,,,,
Ivory Frimpong,WR,Rhode Island,6030.0,205.0,,,,4.64,15,7.45,4.47,--,0909
LB Mack III,LB,Rhode Island,6010.0,238.0,,,,4.70,17,7.37,4.69,--,0905
Jake Constantine,QB,Rice,6007.0,205.0,938.0,3028.0,7258.0,4.85,4,7.70,4.63,30.0,0808
Jordan Myers,TE,Rice,6000.0,209.0,928.0,3148.0,7278.0,4.75,--,7.31,4.44,32.5,0907
Jovaun Woolford,IOL,Rice,6036.0,295.0,868.0,3218.0,7848.0,5.49,28,8.84,5.13,26.5,0803
Elijah Garcia,IDL,Rice,6053.0,290.0,1000.0,3500.0,8248.0,5.01,25,7.40,4.55,30.0,0906
Naeem Smith,S,Rice,5092.0,187.0,878.0,3148.0,7558.0,4.69,--,7.14,4.33,40.5,1001
Jonathan Johnson,WR,Richmond,6025.0,196.0,948.0,3178.0,7628.0,4.56,--,6.88,4.46,36.5,0909
Joe Mancuso,QB,Richmond,6026.0,219.0,1000.0,3138.0,7628.0,4.83,--,7.16,4.26,34.0,1001
Timothy Coleman,IOL,Richmond,6027.0,310.0,958.0,3258.0,7978.0,5.51,26,7.95,4.89,28.0,0802
Tyler Dressler,LB,Richmond,6021.0,241.0,958.0,3168.0,7778.0,4.67,22,7.22,4.45,37.0,0910
AJ Smith,S,Richmond,6010.0,201.0,1028.0,3078.0,7418.0,4.92,11,7.60,4.83,31.0,0908
Noah Thomas,WR,Rose-Hulman,,,,,,4.55,,,,,
Isiah Pacheco,RB,Rutgers,5102.0,222.0,928.0,3048.0,7378.0,--,27,7.09,4.27,--,--
Bo Melton,WR,Rutgers,5110.0,190.0,900.0,3128.0,7658.0,--,18,6.81,4.10,--,--
Jovani Haskins,TE,Rutgers,6044.0,252.0,1068.0,3568.0,8168.0,4.96,19,7.19,4.25,36.5,0906
Julius Turner,IDL,Rutgers,5113.0,281.0,848.0,3068.0,7648.0,5.04,29,7.47,4.58,28.5,0808
Mike Tverdov,EDGE,Rutgers,6036.0,266.0,878.0,3148.0,7838.0,4.82,28,7.19,4.19,35.0,0906
Olakunle Fatukasi,LB,Rutgers,6012.0,234.0,948.0,3278.0,7800.0,4.79,21,6.76,4.36,38.0,1002
Tyshon Fogg,LB,Rutgers,6010.0,228.0,928.0,3278.0,7800.0,--,21,--,--,35.5,1002
Tyreek Maddox-Williams,LB,Rutgers,6004.0,228.0,968.0,3058.0,7468.0,4.72,22,--,4.42,38.0,1000
Drew Singleton,LB,Rutgers,6010.0,232.0,1018.0,3218.0,7838.0,4.88,21,7.09,4.35,34.0,1000
Tre Avery,CB,Rutgers,5104.0,181.0,858.0,2958.0,7178.0,4.45,16,6.76,4.01,38.0,1003
Lawrence Stevens,S,Rutgers,5075.0,180.0,900.0,2978.0,7428.0,4.63,18,6.62,4.19,36.0,0908
Billy Taylor,LS,Rutgers,6004.0,235.0,878.0,3100.0,7418.0,4.85,28,7.13,4.35,30.5,0903
Joey Lewis,WR,Sacramento State,5112.0,185.0,918.0,3038.0,7368.0,4.61,14,7.19,4.50,31.5,0907
Thomas Parker,IOL,Sacramento State,6016.0,311.0,938.0,3028.0,7500.0,5.39,22,8.71,4.90,26.5,0800
Kooper Richardson,IOL,Sacramento State,6046.0,302.0,958.0,3268.0,7968.0,4.98,25,7.82,4.94,27.5,0902
Josiah Erickson,EDGE,Sacramento State,6010.0,224.0,868.0,3118.0,7600.0,4.80,16,7.25,4.46,34.0,0907
Marcus Hawkins,LB,Sacramento State,5105.0,237.0,900.0,3068.0,7400.0,4.78,23,7.27,4.50,29.5,0807
Taylor Powell,LB,Sacramento State,5110.0,230.0,900.0,2958.0,7300.0,4.82,13,7.56,4.53,--,--
Greg Filer III,CB,Sacramento State,5110.0,171.0,878.0,3018.0,7400.0,4.76,1,7.27,4.50,30.0,0810
Julius Chestnut,RB,Sacred Heart,5110.0,228.0,918.0,2928.0,7268.0,4.61,22,7.03,4.34,34.0,0905
Josh Sokol,IOL,Sacred Heart,6020.0,309.0,928.0,3218.0,7718.0,5.28,20,7.44,4.62,29.0,0803
Javaree Jackson,IDL,Saginaw Valley State,6036.0,280.0,968.0,3568.0,8300.0,5.11,18,7.86,4.80,27.0,0904
Isaiah Johnson-Mack,LB,Saginaw Valley State,6027.0,227.0,968.0,3258.0,7858.0,4.72,15,7.10,4.16,34.0,1000
Chris Nelson,RB,Saginaw Valley State,5091.0,205.0,958.0,3148.0,7578.0,4.87,16,7.46,4.45,32.5,0903
Tommy Scott,RB,Saginaw Valley State,5085.0,187.0,818.0,2868.0,7000.0,4.76,13,7.33,4.56,32.5,0811
Chad Gailliard,WR,Saginaw Valley State,6030.0,217.0,928.0,3258.0,7700.0,4.58,12,7.06,4.47,35.0,0910
Kyle Junior,IDL,Saginaw Valley State,6022.0,303.0,1058.0,3238.0,7800.0,5.14,24,7.06,4.77,28.5,0807
Victor Abraham,LB,Saginaw Valley State,6022,227,0958,3268,7848,4.68,17,7.45,4.78,38.5,1006
Marvin White,CB,Saginaw Valley State,5096,172,0958,2958,7100,4.54,17,7.20,4.44,35.0,1002
Tim Kidd-Glass,S,Saginaw Valley State,6001,209,0968,3000,7368,4.88,8,7.37,4.63,35.5,0902
Eric Schmid,QB,Sam Houston State,,,,,,,,,,37.0,
Cody Chrest,WR,Sam Houston State,,,,,,4.48,,,,37.0,
Jequez Ezzard,WR,Sam Houston State,,,,,,,,,,37.0,
Colby Thomas,IOL,Sam Houston State,,,,,,,35,,,,
Zyon McCollum,CB,Sam Houston State,,,,,,,15,,,38.5,
Tristin McCollum,S,Sam Houston State,,,,,,,,,,37.5,
Liam Welch,QB,Samford,6013,210,0958,3158,7638,4.84,--,7.33,4.38,31.0,0905
Jai'Rus Creamer,WR,Samford,6025,232,0918,3300,8048,4.75,9,7.84,4.97,32.0,0904
Montrell Washington,WR,Samford,5087,181,0938,2838,7000,4.48,6,7.25,4.32,36.0,1004
Armond Lloyd,IDL,Samford,6024,294,0978,3368,8100,5.66,16,8.25,4.84,23.5,0805
Joshua Carter,CB,Samford,6004,195,1000,3058,7448,4.78,7,7.75,4.63,30.5,0907
Coutrell Plair,CB,Samford,5097,177,0900,3100,7300,4.75,8,7.33,4.66,31.0,0909
Coby Neenan,K,Samford,6006,214,0900,3238,7668,--,--,--,--,--,--
Emilio Martinez,RB,San Diego,5080,193,0918,2828,7048,4.61,20,7.34,4.39,34.0,0907
Terrence Smith,RB,San Diego,5102,226,0928,3200,7438,4.67,23,7.70,4.52,31.0,0905
Bennett Dondoyano,WR,San Diego,5096,171,0858,2838,6838,4.56,13,7.03,4.28,36.0,1004
Michael Hawkins,CB,San Diego,5115,205,0848,3078,7300,4.54,13,7.45,4.40,33.5,0910
Cassius Johnson,CB,San Diego,5107,188,0818,2978,7248,4.54,13,7.32,4.26,39.5,1004
Greg Bell,RB,San Diego State,5104,201,0938,3100,7400,4.63,--,7.17,4.32,--,--
Daniel Bellinger,TE,San Diego State,6047,250,1018,3258,7838,--,--,7.03,4.44,35.0,--
Zachary Thomas,OT,San Diego State,6047,305,1028,3378,8258,--,--,--,--,--,--
William Dunkle,IOL,San Diego State,6047,347,1028,3358,8158,--,--,--,--,--,--
Dominic Gudino,IOL,San Diego State,6023,289,0948,3200,7768,5.55,23,8.40,4.97,22.0,0701
Jalil Lecky,EDGE,San Diego State,6041,225,0818,3368,8128,4.73,13,7.30,4.40,31.0,0905
Sefo Mailangi,EDGE,San Diego State,6023,244,0900,3128,7578,4.88,--,7.90,4.60,26.5,0809
Cameron Thomas,EDGE,San Diego State,6041,267,1028,3248,7878,--,--,--,--,--,--
Segun Olubi,LB,San Diego State,6001,225,0778,3168,7818,4.45,21,7.04,4.31,34.5,0901
Tayler Hawkins,CB,San Diego State,6000,203,0938,3048,7318,4.53,14,7.21,4.34,36.5,0908
Trenton Thompson,S,San Diego State,6010,196,0928,3248,7528,4.61,11,7.20,4.26,35.5,0911
Matt Araiza,P,San Diego State,6011,201,0948,3058,7318,--,--,--,--,--,--
Cameron Thomas,EDGE,San Diego State,,265,,,,,,6.87,,33.5,
Nick Starkel,QB,San Jose State,6041,217,1028,3200,7818,5.09,--,7.55,4.85,30.0,0903
Tyler Nevens,RB,San Jose State,5104,238,0858,3028,7448,4.92,13,7.70,4.57,31.0,0906
Trevon Sidney,WR,San Jose State,5104,178,0900,2900,7248,4.78,13,7.21,4.37,33.0,0907
Derrick Deese Jr.,TE,San Jose State,6032,244,1028,3358,8200,4.93,18,--,--,31.0,1000
Billy Bob Humphreys,TE,San Jose State,6043,247,0900,3078,7728,5.39,14,--,--,25.5,0900
Jack Snyder,OT,San Jose State,6050,306,1000,3128,7848,5.15,25,7.70,4.58,27.5,0901
Bobby Brown II,S,San Jose State,6001,183,0948,3058,7418,4.67,10,7.66,4.47,34.5,1006
Jay Lenard,S,San Jose State,6010,209,--,--,--,--,--,--,--,--,--
Will Hart,P,San Jose State,6025,198,0868,3048,7438,--,--,--,--,29.0,--
Name,Position,School,Height,Weight,Hand,Arm,Wing,40.00,Bench,3-Cone,Shuttle,Vertical,Broad
Brennon Dingle,WR,SE Louisiana,5092,180,0900,3028,7348,4.59,11,--,4.32,40.0,1007
Chinedu Ogbonna,EDGE,SE Louisiana,6023,232,1048,3218,7758,4.93,10,7.59,4.44,30.0,0903
Zack Smith,WR,SE Missouri State,5097,200,0868,2968,6958,4.65,11,7.13,4.35,34.5,0901
Bryson Donnell,IDL,SE Missouri State,6006,303,0918,3100,7548,5.07,27,7.43,4.67,29.5,0810
Shabari Davis,CB,SE Missouri State,6004,186,0958,3218,7500,4.52,11,7.05,4.38,39.0,1100
Brandon Mincey,LB,SE Missouri State,5117,234,0968,3048,7348,4.75,18,7.18,4.35,30.0,0900
Devon Hunt,LB,Shaw,5110,227,0900,3000,7400,4.65,21,,,31.5,0904
Nehemiah Reddish,S,Shorter,5090,197,0948,3048,7138,4.80,25,7.21,4.45,34.0,1000
Trenten Morrow,S,Siena Heights,6024,207,0948,3058,7618,4.58,10,7.10,4.30,36.5,1005
Henry Litwin,WR,Slippery Rock,5110,189,0948,3128,7528,4.56,10,6.78,4.07,34.5,1001
Danny Gray,WR,SMU,5117,197,0958,3178,7658,--,--,7.38,4.37,--,--
Charles Headen III,WR,SMU,5071,181,0900,3058,7018,4.50,11,7.56,4.33,39.5,0907
Reggie Roberson Jr.,WR,SMU,5110,193,0948,3278,7828,4.53,13,7.14,4.24,31.5,--
Grant Calcaterra,TE,SMU,6037,243,1000,3378,8018,--,--,7.09,4.30,32.5,--
Tommy McIntyre,TE,SMU,6070,260,1000,3468,8000,5.00,13,7.44,4.68,28.5,0907
Beau Morris,OT,SMU,6051,300,0968,3418,8038,5.41,16,8.35,5.03,25.0,0804
Hayden Howerton,IOL,SMU,6030,300,0978,3328,7900,5.24,36,7.78,4.70,32.0,0810
Will Jones,IDL,SMU,6003,305,0878,2968,7048,5.30,22,7.65,4.62,23.5,0806
Richard Moore,LB,SMU,5114,218,0948,3200,7548,4.98,13,--,4.66,28.5,0905
Delano Robinson,LB,SMU,6001,231,0868,3178,7428,4.96,22,7.44,4.71,34.0,0908
Trevor Denbow,S,SMU,5110,208,0928,3100,7500,4.57,18,7.03,4.10,38.5,1100
Blake Mazza,K,SMU,5074,185,0878,2928,6878,--,--,--,--,--,--
Kareem Walker,RB,South Alabama,6001,209,0878,3248,7938,4.66,13,7.58,4.51,30.5,1000
Jalen Tolbert,WR,South Alabama,6015,193,0968,3258,7658,--,--,--,4.24,--,--
Ja'Chai Baker,OT,South Alabama,6056,321,1000,3478,8238,--,11,8.16,--,27.0,0802
Jamal Brooks,LB,South Alabama,6002,234,0978,3200,7818,4.76,--,7.52,4.46,35.5,0911
Chris Henderson,LB,South Alabama,6027,241,1028,3448,7928,4.91,15,7.54,4.60,30.0,0906
Shawn Jennings,LB,South Alabama,6001,228,0918,3238,7678,4.82,--,7.39,4.52,33.0,0909
Devin Rockette,CB,South Alabama,5094,180,0800,3100,7258,4.53,15,7.36,4.39,38.5,1010
Kwameh Lewis,S,South Alabama,5102,193,0928,3318,7738,4.67,10,7.21,4.63,33.0,1001
Tre Young,S,South Alabama,5112,186,0938,3058,7448,4.74,9,7.43,4.51,28.5,0908
Shawn Steele II,CB,South Alabama,5100,190,0878,3000,7268,4.76,12,7.36,4.56,33.0,0906
Kevin Harris,RB,South Carolina,5097,222,0948,3128,7700,4.62,--,7.39,4.26,37.5,1003
ZaQuandre White,RB,South Carolina,6001,215,0918,3068,7368,4.63,9,7.37,4.44,36.0,1001
Nick Muse,TE,South Carolina,6044,258,0948,3168,7738,4.71,27,7.09,4.26,30.5,0903
Jabari Ellis,IDL,South Carolina,6017,278,1000,3228,8168,4.78,28,7.69,4.70,27.0,0904
Kingsley Enagbare,EDGE,South Carolina,6040,271,1058,3468,8428,4.98,--,7.51,4.54,--,0910
Aaron Sterling,EDGE,South Carolina,6005,245,0958,3168,8000,4.62,19,--,4.84,28.0,0900
Spencer Eason-Riddle,LB,South Carolina,5117,235,--,--,--,--,--,--,--,--,--
Damani Stanley,LB,South Carolina,6002,243,0968,3128,7728,4.80,8,7.57,4.59,32.0,1001
Carlins Platel,CB,South Carolina,5117,194,0918,2948,7268,4.65,16,7.39,4.33,37.5,1002
Jaylan Foster,S,South Carolina,5096,185,0918,3068,7428,4.66,--,7.25,4.46,32.5,0904
Parker White,K,South Carolina,6041,207,0938,3348,7948,--,--,--,--,34.0,1006
Will Vereen,WR,South Carolina State,5110,204,0918,3278,7658,4.53,20,7.39,4.15,35.0,0905
Tison Gray,IOL,South Carolina State,6042,328,1018,3558,8138,5.18,18,8.46,5.06,24.5,0803
Chad Gilchrist,LB,South Carolina State,6004,216,0938,3278,7478,4.75,--,7.60,4.52,29.0,0900
Decobie Durant,CB,South Carolina State,5095,183,0868,3068,7268,--,11,7.02,4.40,36.0,0909
Zafir Kelly,CB,South Carolina State,5112,178,0918,3168,7400,4.57,--,7.29,4.21,36.5,0908
Brett Samson,FB,South Dakota,6013,235,0958,3200,7800,4.76,12,7.17,4.26,32.0,0907
Caleb Vander Esch,WR,South Dakota,6003,200,0900,3100,7468,4.72,19,7.01,4.18,38.5,0908
DeValon Whitcomb,IDL,South Dakota,6023,291,1048,3400,8078,5.59,20,7.86,4.88,30.5,0803
Jack Cochrane,LB,South Dakota,6030,236,0948,3118,7600,4.65,19,7.27,4.10,41.0,1004
DeJaun Cooper,LB,South Dakota,6026,229,0978,3228,7778,4.69,19,7.27,4.39,38.5,1002
Jacob Matthew,LB,South Dakota,6022,249,0858,3278,7948,4.93,19,7.40,4.45,32.5,0905
Elijah Reed,S,South Dakota,6020,213,1000,3228,7958,4.70,11,7.12,4.22,33.0,0909
Mason Lorber,K,South Dakota,6000,184,0900,3048,7368,--,--,--,--,--,--
Brady Schutt,P,South Dakota,6010.0,218.0,958.0,3200.0,7638.0,--,--,--,--,--,--
Chris Oladokun,QB,South Dakota State,6012.0,213.0,928.0,3178.0,7600.0,4.71,--,--,--,32.5,0903
Pierre Strong Jr.,RB,South Dakota State,5113.0,207.0,928.0,3178.0,7648.0,--,16,6.95,4.25,38.0,0911
Aron Johnson,OT,South Dakota State,6053.0,300.0,1028.0,3448.0,8138.0,5.61,25,7.52,4.58,30.0,0904
Wes Genant,IOL,South Dakota State,6040.0,307.0,900.0,3118.0,7500.0,--,20,--,--,--,--
Eagan Lickiss,IOL,South Dakota State,,,,,,,27,,,,
Xavier Ward,IDL,South Dakota State,6013.0,287.0,1000.0,3200.0,7700.0,5.25,24,7.32,4.56,30.5,0810
Tolu Ogunrinde,EDGE,South Dakota State,6020.0,244.0,,,,4.69,,,,33.0,
Logan Backhaus,LB,South Dakota State,6030.0,225.0,928.0,3228.0,7600.0,4.75,13,7.19,4.41,31.5,0910
Don Gardner,CB,South Dakota State,6004.0,189.0,900.0,3118.0,7600.0,4.48,11,6.93,4.25,36.5,1007
Michael Griffin II,S,South Dakota State,5113.0,213.0,1038.0,3128.0,7558.0,4.56,12,6.82,4.18,43.5,1105
Cole Frahm,K,South Dakota State,6030.0,229.0,1028.0,3358.0,8000.0,--,--,--,--,--,--
Lance Lenoir,WR,Southern Illinois,5112.0,186.0,948.0,3158.0,7628.0,4.77,14,7.03,4.40,35.5,0911
Jerron Rollins,WR,Southern Illinois,6017.0,210.0,868.0,3158.0,7478.0,--,14,--,--,--,--
Ze'Veyon Furcron,G,Southern Illinois,5117.0,321.0,968.0,3200.0,7748.0,5.20,31,--,--,28.5,0804
Jordan Berner,EDGE,Southern Illinois,6045.0,253.0,868.0,3248.0,7738.0,4.93,23,--,--,30.5,0911
Anthony Knighton,EDGE,Southern Illinois,6024.0,248.0,928.0,3228.0,7738.0,4.76,22,--,--,33.0,0900
Kholbe Coleman,LB,Southern Illinois,5107.0,217.0,958.0,3200.0,7658.0,4.80,15,--,--,29.5,0909
Bryce Notree,LB,Southern Illinois,6024.0,233.0,1000.0,3358.0,7748.0,4.86,22,7.14,4.45,34.0,0908
Qua Brown,S,Southern Illinois,5104.0,204.0,938.0,3128.0,7600.0,4.65,17,--,--,36.0,0910
Nico Gualdoni,K,Southern Illinois,6000.0,210.0,928.0,2968.0,7300.0,4.98,16,--,--,28.0,0806
Jack Colquhoun,P,Southern Illinois,6016.0,178.0,900.0,3100.0,7528.0,5.08,--,7.29,4.53,31.5,0906
Grayson Gunter,TE,Southern Miss,6056.0,250.0,968.0,3418.0,7758.0,4.87,17,7.07,4.27,31.5,0902
Bryce Foxworth,IOL,Southern Miss,6024.0,304.0,1000.0,3248.0,7748.0,5.53,21,8.30,4.96,25.0,0804
Khalique Washington,IOL,Southern Miss,6035.0,313.0,1000.0,3318.0,7718.0,5.38,16,8.03,4.86,28.0,0808
Dashawn Crawford,IDL,Southern Miss,6002.0,287.0,1038.0,3218.0,7718.0,5.24,18,7.84,4.60,30.5,0903
Everitt Cunningham,EDGE,Southern Miss,6016.0,243.0,948.0,3300.0,7800.0,5.00,16,8.23,4.73,26.0,0901
