Name,Position,School ▲,HT,WT,Hands,Arms,Wingspan,40,Bench,3-Cone,Shuttle,Vertical,Broad
Gavin Robertson,S,Montana,6014.0,200.0,1000.0,,7568.0,4.66,16,--,--,33.5,1000
Kevin Macias,K,Montana,5103.0,202.0,848.0,,7228.0,--,--,--,--,--,--
Matthew O'Donoghue,LS,Montana,6002.0,239.0,948.0,,7300.0,5.14,10,7.75,4.70,27.5,0802
Chase Benson,IDL,Montana State,,,,,,,30,,,,
Daniel Hardy,EDGE,Montana State,,,,,,,,,,40.0,
Troy Andersen,LB,Montana State,,,,,,,,6.72,3.99,,
Tre Webb,S,Montana State,6007.0,200.0,,,,,17,6.78,4.18,35.5,1006
Hunter Spartz,OT,Montana Tech,,,,,,,28,,,30.0,
BJ Byrd,WR,Morehead State,5100.0,183.0,,,,4.50,15,7.00,4.20,37.0,1000
Vaughn Taylor Jr.,EDGE,Morehead State,6025.0,252.0,,,,4.73,19,,4.50,32.0,0904
Vincent Winey,LB,Morehead State,6003.0,228.0,,,,4.65,16,7.03,4.25,37.5,1005
Frank Bailey Jr.,RB,Morehouse,5061.0,171.0,0848,2778,6868,4.65,9,7.76,4.41,30.5,0907
Daniel Norman,S,Morehouse,6013.0,206.0,0928,3168,7600,4.73,7,7.65,4.52,30.0,0910
Wesley Wolfolk,WR,Morgan State,,,,,,,17,,,31.0,
Brandon Burton,LB,Murray State,6000.0,214.0,0848,3048,7500,5.05,--,--,--,--,--
Jacobi Hearn,LB,Murray State,5112.0,213.0,0838,3048,7448,4.73,--,--,--,--,--
Levi Falck,WR,Nebraska,6006.0,207.0,0900,2938,7358,4.65,8,6.91,4.27,32.5,0906
Samori Toure,WR,Nebraska,6007.0,191.0,0938,3228,7668,4.48,7,6.77,4.22,34.5,1004
Austin Allen,TE,Nebraska,6075.0,252.0,0948,3358,8078,--,8,--,--,--,--
Cameron Jurgens,IOL,Nebraska,6027.0,304.0,1000,3338,8018,--,--,7.19,4.49,33.5,0911
Damion Daniels,IDL,Nebraska,6016.0,302.0,0958,3300,8058,5.43,--,7.85,4.94,29.0,0806
Ben Stille,IDL,Nebraska,6040.0,300.0,0948,3218,7928,4.98,22,7.45,4.29,32.0,0908
JoJo Domann,LB,Nebraska,6012.0,230.0,0948,3038,7448,4.60,15,6.88,4.32,36.5,1001
Cam Taylor-Britt,CB,Nebraska,5105.0,196.0,1000,3148,7548,--,--,6.93,4.13,33.5,0911
Marquel Dismuke,S,Nebraska,5115.0,196.0,0900,3138,7500,4.78,8,7.09,4.50,29.5,0901
Deontai Williams,S,Nebraska,5111.0,203.0,0978,3158,7478,4.59,14,6.78,4.01,33.0,1003
